Project Sub-Code,Project Name,Project Type,Responsible Division,KPI Completed,Project Status,Latitude,Longitude,Date Project Awarded,Client Name,Consultant Name,First Party name,Project Description
P411-IN,Binladin- Al Khawaneej,Infrastructure Works,Infrastructure Division,True,upcoming,25.23,55.54,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P411,Binladin- Al Khawaneej,Shoring Works,Enabling Division,True,upcoming,25.23,55.54,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P4111,MERAKI - HAVEN,Shoring Works,Enabling Division,True,upcoming,25.09,55.31,,Mr.John R Harris,Meraki Real Estate One Person LLC (MRED),Meraki Integrated Contracting LLC (MICL),
P4112,Foresight - Nad Al Shiba Fourth,Shoring Works,Enabling Division,True,upcoming,25.14,55.36,,Tariq Mohammad Saleh Al Gurg,Al Gurg Consultants,Foresight Contracting LLC,
P412,Sobha - Global Square PTP,Others,Enabling Division,True,upcoming,25.17,55.32,,Sobha Capital L.L.C,PNC Atchitects,Sobha Constructions L.L.C,
P413,Buhaleeba - Jumeirah Park,Shoring Works,Enabling Division,True,upcoming,25.05,55.17,,GRAND TARGET TECHNICAL SERVICES L.L.C,,GRAND TARGET TECHNICAL SERVICES L.L.C,
P414-SI,Bonyan-Al Jaddaf,Soil Improvement Works,Soil Improvement Division,True,contract-completed,25.23,55.34,,KASCO Properties DMCC,Bonyan Engineering Consultancy,LA MIDA CONTRACTING,
P414-S,Bonyan-Al Jaddaf,Shoring Works,Enabling Division,True,upcoming,25.23,55.34,,KASCO Properties DMCC,Bonyan Engineering Consultancy,LA MIDA CONTRACTING,
P415,Sarooj - Dibba,Marine Works,Marine Division,True,contract-completed,25.650000000000002,56.27,,WALCON MARINE AUSTRALIA PTY LTD,,Sarooj Construction Company LLC,
P416-SI,Ummah Contracting,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.29,55.31,,AB Developers L.L.C,Pro Line Engineering Consultants,Al Ummah Contractors L.L.C,
P416-P,Ummah Contractors - Nakhlat Deira,Piling Works,Enabling Division,True,upcoming,25.29,55.31,,AB Developers L.L.C,Pro Line Engineering Consultants,Al Ummah Contractors L.L.C,
P417,Zabeel-Al Garhoud,Shoring Works,Enabling Division,True,upcoming,25.25,55.34,,Mr. Naser Ahmed Saeed Mohamed Al Awadhi,BH.NS Engineering Consultants,Zabeel Contracting LLC,
P418,Al Madar - Nad Al Shiba,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.16,55.32,,Mr. George Hanna Faddul,Pro Line Engineering Consultants,Al Madar Engineering,
P419,Palace - LV43,Shoring Works,Enabling Division,True,upcoming,25.22,55.22,,Mr. Miroslav Vyboh,Al Ajmi Engineering Consultants,Palace Group LLC,
P420,Palace B14,Shoring Works,Enabling Division,True,contract-completed,25.23,55.25,,"Meraas Estates, Mr. Wissam Wafaa Al Damaa",UNICA/AMEC,Palace Group LLC,
P421,Palace - B11 & B13,Shoring Works,Enabling Division,True,upcoming,25.23,55.25,,"Meraas Estates, Mr. Wissam Wafaa Al Damaa",AMEC,Palace Group LLC,
P422,Sobha A10,Shoring Works,Enabling Division,True,upcoming,25.18,55.32,,Sobha Capital L.L.C,PNC Architects,Sobha Capital L.L.C,
P424,Binghatti Phoenix,Shoring Works,Enabling Division,True,contract-completed,25.05,55.21,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P426,Bruders Lamer,Shoring Works,Enabling Division,True,upcoming,25.23,55.25,,Palma Homes Real Estate Development,Yaghmour Architects & Engineers,Bruders Building Contracting LLC,
P427,Sobha Mall,Shoring Works,Enabling Division,True,upcoming,25.18,55.300000000000004,,Sobha Capital L.L.C,PNC,Sobha Constructions L.L.C,
P428,Al Shurooq- Deira Islands,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.29,55.29,,Mr. Ehab Sayed Mohamed El Wishy,Al Shurooq Engineering Consultant,Al Shurooq Engineering Consultant,
P430,Al Isra - Al Seouh,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.240000000000002,55.64,,Government Of Sharjah - Directorate Of Islamic Affairs,Al Rouya Almotakamela Architectural Consultants,Alisra Group,
P431,Al Isra - Al Sajaa,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.32,55.620000000000005,,Government Of Sharjah - Directorate Of Islamic Affairs,Architecture Corner Engineering Consultants (ACC),Alisra Group,
P433,Binghatti Hills,"Shoring Works, Piling Works",Enabling Division,True,contract-completed,25.07,55.25,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P438,Alliedtech Contracting,Shoring Works,Enabling Division,True,upcoming,25.09,55.38,,Dubai Land Residence LLC,New Art Engineering Consultancies,Alliedtech Contracting LLC,
P439,Remal Al Sahra,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.3,55.34,,Meeras Estates LLC,ENMA Engineering Consultants,Remal Al Sahara Contracting,
P440,Paramount Carl VIlla,Shoring Works,Enabling Division,True,upcoming,25.200000000000003,55.26,,Mr.Carl Joseph Gilles Asamade,EMKAAN Architecture & Engineering Consultancy,Paramount International Contracting L.L.C,
P441,Sunrise Capital,Shoring Works,Enabling Division,True,upcoming,25.02,55.11,,Sunrise Capital Real Estate Development L.L.C.,Model Engineering Consultants,Sunrise Capital Real Estate Development L.L.C.,
P442,Palace A14,Shoring Works,Enabling Division,True,upcoming,25.23,55.25,,La Mer Estates L.L.C.,Al Manhal Engineering Consultants (AMEC),Palace Group LLC,
P443,MV-01 Orient Crown La Mer,Shoring Works,Enabling Division,True,upcoming,25.21,55.24,,"Mr.Ashok Bhagchandani, Ram Bhagchandani, Satish Bhagchandani",Orient Crown Architectural Consultant,Orient Crown Architectural Consultant,
P444,BCI Lamer,Shoring Works,Enabling Division,True,upcoming,25.22,55.25,,Margarita Louis,Orient Crown Architectural Consultant,Build Corp Interiors,
P445,Positive Thinkers,Shoring Works,Enabling Division,True,upcoming,25.23,55.25,,Princimare Twenty Six Limited,Al Manhal Engineering Consultants (AMEC),The Positive Thinkers Investments FZE,
P446,NMDC-Abu Dhabi,Testing Works,Enabling Division,True,upcoming,24.48,54.410000000000004,,Q Properties,KEO Consultant,NMDC GROUP,
P447,Orient Crown- La Mer,Shoring Works,Enabling Division,True,upcoming,25.23,55.25,,Mr. Kaiser Kamil,Orient Crown Architectural Consultant,Orient Crown Architectural Consultant,
P449,Binghatti Trillioniare,Piling Works,Enabling Division,True,contract-completed,25.18,55.26,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P450,Al Rabat - Al Satwa,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.22,55.27,,Mr. Ali Al Sayed Hussain Al Sayed shubbar,Al Asri Engineering Consultants,Al Rabat Contracting,
P451,Paramount- NIkesh Villa,Shoring Works,Enabling Division,True,upcoming,25.200000000000003,55.26,,Mr. Carl Joseph Gilles Asamade,Emkaan,Paramount International Contracting L.L.C,
P452,Rumaysa - Emirates HIlls,Shoring Works,Enabling Division,True,upcoming,25.07,55.17,,Mr. Amandeep Singh Sahney,Model Engineering Consultants,Rumaysa Project Management Services,
P453,CPC-Ras Al Khaimah,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.72,55.84,,RAK Properties,XYZ Designers,CPC Construction Piling Company,
P454,Aztec Sharjah,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.34,55.410000000000004,,ENOC,BH. NS Engineering Consultants,Aztec Middle East Contracting LLC,
P455,Kasco Business Bay,Piling Works,Enabling Division,True,upcoming,25.18,55.27,,KASCO Real Estate LLC,Next Engineering Consultants,KASCO Group,
P456,City Experts - Business Bay,Shoring Works,Enabling Division,True,upcoming,25.19,55.28,,EMAAR,Khatib & Alami,City Expert Group,
P457,Al Rabat - Muraqqabat,Shoring Works,Enabling Division,True,cancelled,25.27,55.32,,Mr. Jamal Omar Ali Binhaidar,Renders Engineering Consultants,Al Rabat Contracting,
P458,Sharjah Lake Mosque,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.32,55.36,,Sharjah Government - Department Of Islamic Affairs,Khatib & Alami - QUAD Design,United Engineering Construction (UNEC),
P459,Sharjah Lake - Piling,Piling Works,Enabling Division,True,upcoming,25.32,55.36,,Sharjah Government - Department Of Islamic Affairs,Khatib & Alami - QUAD Design,United Engineering Construction (UNEC),
P460,Orient Crown - C23,Shoring Works,Enabling Division,True,contract-completed,25.23,55.25,,Mrs. Shikha Jatin Shah,Orient Crown Architectural Consultant,Orient Crown Architectural Consultant,
P461,Alta - Marsa Dubai,"Enabling Works, Shoring Works",Enabling Division,True,upcoming,25.14,55.19,,Mr. Saeed Mohd Ahmad Al Tayer,DAR | Design and Architecture Bureau,Alta Real Estate Development LLC,
P462,Drydocks - ZLT,Testing Works,Enabling Division,True,upcoming,25.240000000000002,55.27,,Drydocks World,,Drydocks World,
P463,Emkaan - Wadi Al Safa,Shoring Works,Enabling Division,True,upcoming,25.1,55.31,,Ms. Zaheera Noor,Emkaan Architecture & Engineering Consultancy,EMKAAN Architecture & Engineering Consultancy,
P465,Zabeel - Dubai South,Shoring Works,Enabling Division,True,upcoming,24.87,55.17,,K P M Investment DWC-LLC,Iconic Architectural & Engineering Consultants,Zabeel Contracting,
P467,ECC Wadi Al Safa,Shoring Works,Enabling Division,True,cancelled,25.1,55.32,,Ms. Zaheera Noor,Emkaan Architecture & Engineering Consultancy,EMKAAN Architecture & Engineering Consultancy,
P468-P,Bingahtti - Grove - Piling,Piling Works,Enabling Division,True,upcoming,25.060000000000002,55.22,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P468-S,Bingahtti - Grove - Shoring,Shoring Works,Enabling Division,True,upcoming,25.060000000000002,55.22,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P470,CAT - ESTIDAMA,Shoring Works,Infrastructure Division,True,upcoming,,,,ADNOC Gas,,C.A.T International LTD,
P472,P472 - CPC - Granada Villas,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.72,55.86,,CPC Construction Piling Company,,CPC Construction Piling Company,
P473,Trilines - Dubai Hills,"Enabling Works, Shoring Works",Enabling Division,True,upcoming,25.12,55.27,,Mr.Helena Hijazi,CandC Design Studio,Tri Lines Contracting,
P475,Block and Block - Dubai Hills,Shoring Works,Enabling Division,True,upcoming,25.13,55.27,,Mr. Ok Rye You,Emkaan Architecture & Engineering Consultancy,Block on Block Building Contracting LLC,
P476,AMEC - Al Wasl,"Enabling Works, Shoring Works, Soil Improvement Works",Enabling Division,True,upcoming,25.200000000000003,55.26,,Mr. Nadim Pierre Serge Khouri,Al Manhal Engineering Consultants (AMEC),Al Manhal Engineering Consultants (AMEC),
P478,Block and Block - Dubai Land,Shoring Works,Enabling Division,True,upcoming,25.1,55.38,,Premier Invest Holdings Limited,SkyLine Consulting Engineers,Block on Block Building Contracting LLC,
P479,ASAK - Barsha South,Shoring Works,Enabling Division,True,upcoming,25.060000000000002,55.22,,Mr. Hibatallah Aiman Jaber,Future Art Engineering Consultancy.,Al Serh Al Kabeer Contracting (ASAK),
P481,Binghatti Ivory,Piling Works,Enabling Division,True,contract-completed,25.21,55.32,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P483,Mar Marine - Piling,Piling Works,Enabling Division,True,upcoming,25.240000000000002,55.27,,Drydocks World,,Mar Marine & Building Contracting,
P484,Samana Lake Views,"Enabling Works, Shoring Works",Enabling Division,True,upcoming,25.04,55.2,,Samana Ifl Holding Limited,AREC Engineering Consultant,Samana Developers,
P485,Samana California II,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.04,55.14,,Samana Ifl Holding Limited,AREC Engineering Consultant,Samana Developers,
P486,Innovo - Emirates Hills Villa,Shoring Works,Enabling Division,True,upcoming,25.07,55.18,,Ms. Mariam Emad Azmy,AMEC,Innovo Build UAE,
P487,DAMAC - ELO,"Enabling Works, Shoring Works",Enabling Division,True,upcoming,24.98,55.39,,Front Line Investment Management,Eng. Adnan Saffarini Office,DAMAC Properties Co. LLC,
P488,DAMAC - Evergreens,"Enabling Works, Shoring Works",Enabling Division,True,contract-completed,24.98,55.39,,Front Line Investment Management,Al Majal Engineering Consultants,DAMAC Properties Co. LLC,
P490,CPC - Major - RAK,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.69,55.74,,Major Development FZ LLC,Federal Engineering Consultants,CPC Construction Piling Company,
P491,Zabeel - Dubai Hills,Shoring Works,Enabling Division,True,upcoming,25.11,55.26,,Mr. Paras Prakash Dhamecha,Iconic Architectural & Engineering Consultants,Zabeel Contracting,
P492,Binghatti - Pinnacle - Al Jaddaf,Piling Works,Enabling Division,True,contract-completed,25.21,55.31,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P493,Binghatti - Starlight - Al Jaddaf,Piling Works,Enabling Division,True,contract-completed,25.21,55.32,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P494,AMEC - Umm Suqeim,"Enabling Works, Shoring Works",Enabling Division,True,cancelled,25.16,55.21,,Mr. Samya Mahmoud Ahmed Mohamed Alzarooni,Al Manhal Engineering Consultants (AMEC),Al Manhal Engineering Consultants (AMEC),
P495,Future Art - Nadd Al Hamar,"Enabling Works, Shoring Works",Enabling Division,True,upcoming,25.19,55.38,,Mr. Khalid Abdulkarim Hussain Al Malik,Future Art Engineering Consultancy.,Future Art Engineering Consultancy.,
P498,Dutch - Emaar Marina Views,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.26,55.28,,EMAAR,Dynamic Design Studio,Dutch Foundation & Concrete Processing Co. LLC,
P499,Al Shamandy - Al Khabaisi,Soil Improvement Works,Soil Improvement Division,True,contract-completed,25.27,55.34,,Al Shamandi Group,Abdul Rahim Architectural Consultants,Al Shamandi Group,
P5001,Al Saifi - Al Satwa,Shoring Works,Enabling Division,True,cancelled,25.23,55.27,1/8/2025,Hibatallah Aiman Jaber,Future Art Engineering Consultancy.,Al Saifi Building Contracting LLC,
P5002-P,Binghatti - Elite - Dubai Production City,Piling Works,Enabling Division,True,contract-completed,25.04,55.19,1/6/2025,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P5002-S,Binghatti - Elite - Dubai Production City,Shoring Works,Enabling Division,True,upcoming,25.04,55.19,1/30/2025,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P5003-S,Burt Place - Yas Island,Shoring Works,Enabling Division,True,contract-completed,24.46,54.6,1/12/2025,Burtville Developments,Al Shamkha Engineering Consultancy,BurtPlace General Contracting LLC,
P5003-P,Burt Place - Yas Island,Piling Works,Enabling Division,True,on-going,24.46,54.6,3/28/2025,Burtville Developments,Al Shamkha Engineering Consultancy,BurtPlace General Contracting LLC,
P5005,Urbanita - Dubai Islands,"Enabling Works, Soil Improvement Works",Soil Improvement Division,,contract-completed,,,,,,,
P5007,Zabeel - Al Nahda,Shoring Works,Enabling Division,True,upcoming,25.29,55.370000000000005,1/22/2025,Mr. Ali Sayed Mohammed Sayed Ibrahim Almoosawi,Bel-yoahah Architectural & Engineering Consultants,Zabeel Contracting LLC,
P5008-S,Al Rayan - Nadd Al Shiba 1st,Shoring Works,Enabling Division,True,contract-completed,25.150000000000002,55.29,2/3/2025,Mr. Salah Mohamed Amin Abdullah & Mohamed Khaled Daas Al Sharu,Dome Engineering Consultancy,Al Rayan Contracting,
P5008-SI,Al Rayan - Nadd Al Shiba 1st,Soil Improvement Works,Soil Improvement Division,True,contract-completed,25.150000000000002,55.29,2/3/2025,Mr. Salah Mohamed Amin Abdullah & Mohamed Khaled Daas Al Sharu,Dome Engineering Consultancy,Al Rayan Contracting,
P5009,Binghatti - Skyblade - Business Bay,Piling Works,Enabling Division,True,upcoming,25.19,55.27,1/31/2025,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P5097,Sharjah Islamic Affairs - Al Khan,Piling Works,Enabling Division,True,upcoming,,,,Government of Sharjah,Riviera Engineering Consultants,Riviera Engineering Consultants,
P5011,High Beam - Nadd Al Shiba 1st,"Shoring Works, Soil Improvement Works",Enabling Division,True,contract-completed,25.150000000000002,55.29,2/12/2025,Mr. Saadi Abdulrahim Hassan Al Rais,Al Fahidi Consulting Engineers,High Beam Contracting LLC,
P5012,Palace - B25,Shoring Works,Enabling Division,True,upcoming,25.23,55.25,1/27/2025,"Meraas Estates, M/s Princimare Twenty Five Limited",Al Manhal Engineering Consultants (AMEC),Palace Group LLC,
P5013,Palace - B33,Shoring Works,Enabling Division,True,contract-completed,25.23,55.25,1/28/2025,"Meraas Estates, M/s Princimare Twenty Five Limited",Al Manhal Engineering Consultants (AMEC),Palace Group LLC,
P5016,Living Space Design - Jumeirah First,Shoring Works,Enabling Division,True,contract-completed,25.23,55.25,2/17/2025,Jean Michel Leonard Bordes,Creative Contemporary Architecural Design Consultancy,,
P5017,Designfit - Lamer,"Enabling Works, Shoring Works",Enabling Division,True,upcoming,25.23,55.25,2/21/2025,Mr. Ryan Mahoney,Orient Crown Architectural,Designfit,
P5019,INNOVO - Ghaf Woods Irrigation Pump Station,"Shoring Works, Infrastructure Works",Infrastructure Division,True,upcoming,25.150000000000002,55.29,3/5/2025,Majid Al Futtaim,Parsons,Innovo Roads Infrastructure & Marine Works,
P5020,Delta - Dubai Island,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.29,55.300000000000004,3/6/2025,Masihullah Imtiaz,Jouzy Consulting Engineers,Delta Foundation Co. LLC,
P5021,Walk Thru - Jumeirah First,Shoring Works,Enabling Division,True,upcoming,25.23,55.25,3/7/2025,Mr. Chingis,NAGA Architects,Walk Thru Contracting,
P5022,Mud and Bricks - Nadd Al Shiba 1st,Soil Improvement Works,Soil Improvement Division,True,contract-completed,25.16,55.31,3/12/2025,Knowledge Fund Establishment,Plural Architecture and Design,Mud and Bricks Contracting Llc,
P5024,Delta - Deira Island 591,Soil Improvement Works,Soil Improvement Division,True,contract-completed,25.29,55.29,3/27/2025,Globe Luxury Island 239 Investments L.L.C,Jouzy Consulting Engineers,Delta Foundation Co. LLC,
P5099,Paramount - Lamer SB05,Shoring Works,Enabling Division,True,upcoming,25.23,55.25,,Mr. Aboozar Karimi,Kayaan Engineering Consultants,Paramount International Contracting L.L.C,
P466-F10,A & M F10,Shoring Works,Enabling Division,True,upcoming,24.43,54.620000000000005,,Masdar - A Mubadala Company,Al Reem Engineering Consultancy LLC,A&M International General Contracting LLC,
P466-F09,A & M F09,Shoring Works,Enabling Division,True,upcoming,24.43,54.620000000000005,,Masdar - A Mubadala Company,Al Reem Engineering Consultancy LLC,A&M International General Contracting LLC,
P5026,Gulf Co - RAK,Soil Improvement Works,Soil Improvement Division,True,on-going,,,4/7/2025,Emirates Health Services (EHS),Ministry of Energy and infrastructure,Gulf Co for Contracting & General Enterprises,
P5029,INNOVO - Ghaf Woods - Drainage Pump Station,"Shoring Works, Infrastructure Works",Infrastructure Division,True,upcoming,25.150000000000002,55.29,4/14/2025,Majid Al Futtaim,Parsons,Innovo Roads Infrastructure & Marine Works,
P5027,Delta - Deira Island 207,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.29,55.300000000000004,4/10/2025,Globe Unique Island 207 Investments L.L.C,Jouzy Consulting Engineers,Delta Foundation Co. LLC,
P5030,Dar Al Hai - Al Twar 1st,Soil Improvement Works,Soil Improvement Division,True,contract-completed,25.27,55.35,4/17/2025,Dubai Police General Headquarters,Madinati Engineering Consultant,Dar Al Hai Contracting,
P5031,Delta - Deira Island 239,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.29,55.300000000000004,4/23/2025,Globe Luxury Island 239 Investments L.L.C,Jouzy Consulting Engineers,Delta Foundation Co. LLC,
P5032-S,Al Rayan - 304 - Nadd Al Shiba 1st,Shoring Works,Enabling Division,True,upcoming,25.150000000000002,55.29,4/28/2025,Mr. Salah Mohd Amin Abdulla & Mohd Khaled Daas Al Share,Dome Engineering Consultancy,Al Rayan Contracting,
P5032-SI,Al Rayan - 304 - Nadd Al Shiba 1st,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.150000000000002,55.29,4/28/2025,Mr. Salah Mohd Amin Abdulla & Mohd Khaled Daas Al Share,Dome Engineering Consultancy,Al Rayan Contracting,
P5035,High Beam - Umm Al Sheif,Shoring Works,Enabling Division,True,upcoming,25.13,55.2,4/30/2025,Mr. Simin Ahari,Design Center,High Beam Contracting LLC,
P5037,Delta - Deira Island 247,Soil Improvement Works,Soil Improvement Division,True,contract-completed,25.3,55.31,5/6/2025,U D S Real Estate L.L.C,Jouzy Consulting Engineers,Delta Foundation Co. LLC,
P5036,ECC - Al Wasl,Shoring Works,Enabling Division,True,on-going,25.200000000000003,55.26,5/29/2025,Aurora Real Estate Development,Emkaan Architecture & Engineering Consultancy,ECC Fit Out Construction LLC,
P5038,Al Tamayoz - Deira Island,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.32,55.32,5/6/2025,Palm 51 SPV Limited,Archgroup Architects Engineering Consultants,Al Tamayoz Contracting Company LLC,
P5040,Binghatti - Moonlight,Piling Works,Enabling Division,True,on-going,25.23,55.34,5/8/2025,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P5041,BCI - Al Merkadah,Shoring Works,Enabling Division,True,upcoming,25.18,55.28,5/8/2025,Mr. Saeed Alizadeh,Image Engineering Consultant,Build Corp Interiors,
P5042,High Beam - Meydan,"Shoring Works, Soil Improvement Works",Enabling Division,True,contract-completed,25.16,55.31,5/9/2025,M/s. FAM,M/s. NAGA,High Beam Contracting LLC,
P5044,Delta - Deira Island 287,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.29,55.29,5/14/2025,U D S Real Estate L.L.C,Al Majal Engineering Consultants,Delta Foundation Co. LLC,
P5045,Delta - Deira Island 120,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.29,55.300000000000004,5/14/2025,Globe Prestige Island 120 Investments L.L.C.,Jouzy Consulting Engineers,Delta Foundation Co. LLC,
P5049,Aztec - Muweilah,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.330000000000002,55.47,6/10/2025,ENOC,Al Burj Engineering Consultants,Aztec Middle East Contracting LLC,
P5047,ASAK - Al Khan,Soil Improvement Works,Soil Improvement Division,True,contract-completed,25.330000000000002,55.36,5/25/2025,Dhayab Bin Ayed Bin Khashan Al Anzi,Arjan Architects,Al Serh Al Kabeer,
P5050,Kalleen - Ramhan Island - Abu Dhabi,Marine Works,Marine Division,True,upcoming,24.53,54.52,6/12/2025,Ramhan Development LLC,Mirage,KALLEEN Civil & Marine Contracting LLC,
P5051,Alfa - Al Souq Al Kabeer,Shoring Works,Enabling Division,True,cancelled,25.26,55.29,6/13/2025,,,,
P5052,High Beam - Merkadh,Shoring Works,Enabling Division,True,upcoming,25.17,55.28,6/16/2025,District One FZ,Plural Architecture and Design,High Beam Contracting LLC,
P5053,Aztec - Al Barsha South,Piling Works,Enabling Division,True,upcoming,25.080000000000002,55.22,6/19/2025,Emarat,Al Burj Engineering Consultants,Aztec Middle East Contracting LLC,
P5054,Aztec - Nadd Al Shiba,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.16,55.31,6/21/2025,Mr. Shamlal madathum parambath,Model Engineering Consultants,Aztec Middle East Contracting LLC,
P5056,Sharjah - Al Qarayen - Infra,Infrastructure Works,Infrastructure Division,False,upcoming,25.29,55.5,7/5/2025,Sharjah Municipality,,Sharjah Municipality,
P5057,Proline - Al Jadaf,"Shoring Works, Soil Improvement Works",Soil Improvement Division,True,upcoming,25.21,55.33,7/2/2025,Mr. Hassan Abdulla Ahmed Al Bahri,Proline Engineering Consultants,,
P5058,Stamn - Al Satwa,"Shoring Works, Soil Improvement Works",Soil Improvement Division,True,upcoming,25.23,55.28,7/3/2025,Mr. Jian Zhenj,CVTEC Consulting Engineers,,
P5059,High Beam - Dubai Hills,Shoring Works,Enabling Division,True,upcoming,25.13,55.27,7/10/2025,Ms. Nikhat Shirin Asgar Ali,Onix Engineering Consultancy,Onix Engineering Consultancy,
P5060,Paramount - Jumeirah First,Shoring Works,Enabling Division,True,contract-completed,25.23,55.25,7/16/2025,Ouail Douazi,Emkan architecture + engineering,Paramount International Contracting L.L.C,
P5061,ASAK - Shuwaihean,Soil Improvement Works,Soil Improvement Division,True,upcoming,,,7/16/2025,General Authority of Islamic Affair and Endowments,Rowaad Al Tasmeem Engineering Consultant,Al Serh Al Kabeer - ASAK,
P5065,High Beam - Merkadh - Faridoon,Shoring Works,Enabling Division,True,upcoming,25.18,55.28,8/12/2025,Mr. Faridoon Khan,Onix Engineering Consultancy,High Beam Contracting LLC,
P5068,CPC - Sheraton - RAK,Soil Improvement Works,Soil Improvement Division,True,on-going,25.68,55.74,8/19/2025,Rakhat Properties L.L.C,Federal Engineering Consultants,CPC Construction Piling Company,
P5071,Orient Crown - Lamer - Zahedi Villa,"Enabling Works, Shoring Works",Enabling Division,True,upcoming,25.23,55.25,8/25/2025,Mr. Saeed Zahedinasab,Orient Crown Architectural,Orient Crown Architectural,
P5074-Building B,ECC - Al Hebiah 2,Shoring Works,Enabling Division,True,upcoming,25.04,55.25,,Vishwamitra,Emkaan Architecture & Engineering Consultancy,ECC Fit Out Construction LLC,
P5074-Building A,ECC - Al Hebiah 2,Shoring Works,Enabling Division,True,upcoming,25.04,55.25,,Vishwamitra,Emkaan Architecture & Engineering Consultancy,ECC Fit Out Construction LLC,
P5076,Venus - Jumeirah,Shoring Works,Enabling Division,True,upcoming,25.23,55.25,,Venus Constractions L.L.C,Architect Consultnt Engineer,Venus Constractions L.L.C,
P5077,Allied- Al Satwa,"Shoring Works, Soil Improvement Works",Enabling Division,True,upcoming,25.22,55.28,,Generation Investment Company L.L.C,Abdul Rahim Architectural Consultants,Alliedtech Contracting LLC,
P5079,CPC - Soleva,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.32,55.32,,Al Huzaifa Properties Fz-LLc,Winner Holistic Consultants,CPC Construction Piling Company,
P5075,Al Rehab - ASCS Layyah - Sharjah,"Soil Improvement Works,Soil Improvement",Soil Improvement Division,True,on-going,25.1,55.15,,Bukhatir Investment Limited,"ATI Consultants, Architects, Engineers",Al Rehab Building Contracting,
P5081,High Beam - Lamer,Shoring Works,Enabling Division,True,upcoming,25.23,55.25,,Mohammed Emadur Rahman,IMPERIUM Group,High Beam Contracting LLC,
P5090,CPC Retail Plaza,Soil Improvement Works,Soil Improvement Division,True,upcoming,,,,CPC Construction Piling Company,Arjan Architects,CPC Construction Piling Company,
P5083,CPC - Hive - RAK,Soil Improvement Works,Soil Improvement Division,True,on-going,-,-,,RAK PROPERTIES,AECOM,CPC Construction Piling Company,
P5084,CPC - Skai - RAK,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.23,55.25,,RAK Properties,XYZ Designers,CPC Construction Piling Company,
P5086,Jscom - Proline,Soil Improvement Works,Soil Improvement Division,True,upcoming,,,,M/s. Jscom Contracting L.L.C,Proline Engineering Consultants,,
P5093-01,DAMAC - Autograph Villas,"Shoring Works,Others,Enabling Division",Enabling Division,False,upcoming,25.02,55.24,12/8/2025,DAMAC Properties Co. LLC,Khatib & Alami,Khatib & Alami,Damac Hills Villas
P5094,ASAK - Al Mamzar,"Piling Works, Shoring Works, Soil Improvement Works",Enabling Division,True,cancelled,25.310000000000002,55.370000000000005,,Mr. Ahaikh Faisal Bin Khalid Bin Sultan Alqasimi,Sharjah Engineering Consultants,Al Serh Al Kabeer - ASAK,
